Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- OCEAN_RUIN           count: 6             4,76 %    (5,94 % expected)
- SHIPWRECK            count: 12            9,52 %    (9,90 % expected)
- DESERT_PYRAMID       count: 14           11,11 %    (11,88% expected)
- VILLAGE              count: 30           23,81 %    (19,80% expected)
- IGLOO                count: 4             3,17 %    (3,96 % expected)
- RUINED_PORTAL        count: 16           12,70 %    (9,90 % expected)
- FORTRESS             count: 18           14,29 %    (15,84% expected)
- MANSION              count: 0             0,00 %    (0,99 % expected)
- END_CITY             count: 2             1,59 %    (1,98 % expected)
- JUNGLE_PYRAMID       count: 3             2,38 %    (3,96 % expected)
- SWAMP_HUT            count: 5             3,97 %    (3,96 % expected)
- PILLAGER_OUTPOST     count: 3             2,38 %    (3,96 % expected)
- BASTION_REMNANT      count: 6             4,76 %    (3,96 % expected)
- MONUMENT             count: 7             5,56 %    (3,96 % expected)

Quest Type: HARVEST_BLOCK
- MELON_SLICE          count: 9             2,76 %    (3,97 % expected)
- COCOA_BEANS          count: 10            3,07 %    (2,65 % expected)
- SUGAR_CANE           count: 48           14,72 %    (13,25% expected)
- SWEET_BERRIES        count: 19            5,83 %    (3,97 % expected)
- CACTUS               count: 21            6,44 %    (6,62 % expected)
- NETHER_WART          count: 13            3,99 %    (2,65 % expected)
- WHEAT                count: 49           15,03 %    (15,89% expected)
- CHORUS_FLOWER        count: 7             2,15 %    (2,65 % expected)
- BROWN_MUSHROOM       count: 16            4,91 %    (3,97 % expected)
- BAMBOO               count: 1             0,31 %    (1,32 % expected)
- CARROT               count: 33           10,12 %    (10,60% expected)
- POTATO               count: 32            9,82 %    (10,60% expected)
- KELP                 count: 17            5,21 %    (3,97 % expected)
- SEA_PICKLE           count: 3             0,92 %    (0,66 % expected)
- PUMPKIN              count: 14            4,29 %    (6,62 % expected)
- RED_MUSHROOM         count: 10            3,07 %    (3,97 % expected)
- BEETROOT             count: 24            7,36 %    (6,62 % expected)

Quest Type: FISH_ITEM
- ANY_FISH             count: 31           48,44 %    (36,36% expected)
- TROPICAL_FISH        count: 0             0,00 %    (1,82 % expected)
- ANY_ITEM             count: 3             4,69 %    (7,27 % expected)
- COD                  count: 17           26,56 %    (25,45% expected)
- ANY_TREASURE         count: 2             3,13 %    (3,64 % expected)
- PUFFERFISH           count: 3             4,69 %    (7,27 % expected)
- SALMON               count: 8            12,50 %    (18,18% expected)

Quest Type: MINE_BLOCK
- IRON_ORE             count: 94           20,94 %    (21,69% expected)
- NETHER_GOLD_ORE      count: 20            4,45 %    (4,34 % expected)
- COPPER_ORE           count: 34            7,57 %    (6,51 % expected)
- NETHER_QUARTZ_ORE    count: 24            5,35 %    (4,34 % expected)
- EMERALD_ORE          count: 7             1,56 %    (1,74 % expected)
- ANCIENT_DEBRIS       count: 10            2,23 %    (1,74 % expected)
- COAL_ORE             count: 107          23,83 %    (21,69% expected)
- GOLD_ORE             count: 72           16,04 %    (15,18% expected)
- REDSTONE_ORE         count: 25            5,57 %    (6,51 % expected)
- DIAMOND_ORE          count: 36            8,02 %    (10,85% expected)
- LAPIS_ORE            count: 20            4,45 %    (5,42 % expected)

Quest Type: CHOP_WOOD
- JUNGLE_LOG           count: 3             1,36 %    (2,53 % expected)
- DARK_OAK_LOG         count: 7             3,18 %    (2,53 % expected)
- SPRUCE_LOG           count: 22           10,00 %    (6,33 % expected)
- ACACIA_LOG           count: 9             4,09 %    (5,06 % expected)
- CHERRY_LOG           count: 0             0,00 %    (1,27 % expected)
- LOG                  count: 142          64,55 %    (63,29% expected)
- OAK_LOG              count: 24           10,91 %    (10,13% expected)
- MANGROVE_LOG         count: 0             0,00 %    (1,27 % expected)
- BIRCH_LOG            count: 13            5,91 %    (7,59 % expected)

Quest Type: VILLAGER_TRADE
- ARMORER              count: 5             5,38 %    (4,35 % expected)
- WEAPONSMITH          count: 3             3,23 %    (4,35 % expected)
- LEATHERWORKER        count: 4             4,30 %    (4,35 % expected)
- SHEPHERD             count: 1             1,08 %    (4,35 % expected)
- LIBRARIAN            count: 7             7,53 %    (4,35 % expected)
- CLERIC               count: 8             8,60 %    (4,35 % expected)
- TOOLSMITH            count: 2             2,15 %    (4,35 % expected)
- NONE                 count: 41           44,09 %    (43,48% expected)
- FARMER               count: 1             1,08 %    (4,35 % expected)
- FLETCHER             count: 4             4,30 %    (4,35 % expected)
- BUTCHER              count: 2             2,15 %    (4,35 % expected)
- CARTOGRAPHER         count: 4             4,30 %    (4,35 % expected)
- MASON                count: 4             4,30 %    (4,35 % expected)
- FISHERMAN            count: 7             7,53 %    (4,35 % expected)

Quest Type: KILL_ENTITY
- CREEPER              count: 27            8,36 %    (6,17 % expected)
- PIG                  count: 24            7,43 %    (8,23 % expected)
- GLOW_SQUID           count: 0             0,00 %    (0,82 % expected)
- ZOMBIE               count: 47           14,55 %    (12,35% expected)
- PILLAGER             count: 2             0,62 %    (0,82 % expected)
- PIGLIN               count: 2             0,62 %    (1,65 % expected)
- ZOMBIE_VILLAGER      count: 2             0,62 %    (0,41 % expected)
- SHEEP                count: 26            8,05 %    (8,23 % expected)
- ZOGLIN               count: 3             0,93 %    (1,65 % expected)
- COW                  count: 24            7,43 %    (8,23 % expected)
- BLAZE                count: 13            4,02 %    (4,12 % expected)
- SQUID                count: 5             1,55 %    (1,65 % expected)
- DROWNED              count: 14            4,33 %    (4,12 % expected)
- MAGMA_CUBE           count: 3             0,93 %    (1,23 % expected)
- CHICKEN              count: 46           14,24 %    (8,23 % expected)
- SKELETON             count: 19            5,88 %    (8,23 % expected)
- GHAST                count: 9             2,79 %    (2,47 % expected)
- ENDERMAN             count: 18            5,57 %    (6,58 % expected)
- WITCH                count: 10            3,10 %    (2,47 % expected)
- WITHER_SKELETON      count: 6             1,86 %    (2,47 % expected)
- SPIDER               count: 15            4,64 %    (6,58 % expected)
- CAVE_SPIDER          count: 4             1,24 %    (1,65 % expected)
- PHANTOM              count: 4             1,24 %    (1,65 % expected)

Quest Type: BREAK_BLOCK
- SPAWNER              count: 0             0,00 %    (3,23 % expected)
- GLOWSTONE            count: 2            15,38 %    (32,26% expected)
- AMETHYST_CLUSTER     count: 11           84,62 %    (64,52% expected)

Quest Type: INCREASE_STAT
- FLOWER_POTTED        count: 1             1,08 %    (2,87 % expected)
- RECORD_PLAYED        count: 0             0,00 %    (1,15 % expected)
- SWIM_ONE_CM          count: 12           12,90 %    (11,49% expected)
- BOAT_ONE_CM          count: 16           17,20 %    (17,24% expected)
- RAID_WIN             count: 0             0,00 %    (1,15 % expected)
- MINECART_ONE_CM      count: 7             7,53 %    (5,75 % expected)
- WALK_ONE_CM          count: 31           33,33 %    (34,48% expected)
- PIG_ONE_CM           count: 5             5,38 %    (5,75 % expected)
- STRIDER_ONE_CM       count: 2             2,15 %    (2,87 % expected)
- BELL_RING            count: 3             3,23 %    (2,87 % expected)
- HORSE_ONE_CM         count: 14           15,05 %    (11,49% expected)
- CAKE_SLICES_EATEN    count: 2             2,15 %    (2,87 % expected)

Quest Type: ENCHANT_ITEM
- DIAMOND_SWORD        count: 30           15,08 %    (9,75 % expected)
- DIAMOND_LEGGINGS     count: 5             2,51 %    (2,44 % expected)
- SHIELD               count: 4             2,01 %    (2,44 % expected)
- DIAMOND_BOOTS        count: 8             4,02 %    (2,44 % expected)
- TRIDENT              count: 0             0,00 %    (0,04 % expected)
- DIAMOND_HELMET       count: 3             1,51 %    (2,44 % expected)
- DIAMOND_HOE          count: 2             1,01 %    (1,63 % expected)
- DIAMOND_AXE          count: 11            5,53 %    (6,50 % expected)
- DIAMOND_CHESTPLATE   count: 2             1,01 %    (2,44 % expected)
- CROSSBOW             count: 5             2,51 %    (4,06 % expected)
- DIAMOND_SHOVEL       count: 10            5,03 %    (6,50 % expected)
- DIAMOND_PICKAXE      count: 18            9,05 %    (8,13 % expected)
- BOOK                 count: 78           39,20 %    (40,63% expected)
- FISHING_ROD          count: 12            6,03 %    (4,06 % expected)
- BOW                  count: 11            5,53 %    (6,50 % expected)


QUESTS:

Chop 192 Logs (⭐⭐)
 + 4 Slime Ball

Travel 4km with a Boat (⭐⭐⭐)
 + 96 Coal
 + 48 Cooked Chicken

Mine 160 Coal Ore (⭐⭐)
 + 24 Copper Ingot
 + 1 Iron Helmet

Harvest 80 Wheat (⭐)
 + 1 Splash Potion: Water Breathing +

Mine 32 Lapis Ore (⭐⭐⭐)
 + 1 Iron Pickaxe: Silk Touch
 + 48 Cooked Mutton

Mine 48 Redstone Ore (⭐⭐⭐)
 + 4 Diamond

Chop 32 Acacia Logs (⭐)
 + 8 Flint
 + 1 Iron Sword

Mine 4 Diamond Ore (⭐⭐)
 + 60 Iron Ingot

Enchant a Diamond Pickaxe with Silk Touch (⭐⭐⭐)
 + 24 Book
 + 1 Diamond Sword

Chop 96 Logs (⭐)
 + 1 Ghast Tear
 + 1 Iron Boots
 + 1 Iron Hoe

Travel 7km with a Boat (⭐⭐⭐)
 + 48 Gold Ingot

Mine 48 Iron Ore (⭐)
 + 1 Enchanted Book: Piercing I
 + 1 Iron Boots

Find a Nether Fortress (⭐⭐⭐⭐)
 + 1 Enchanted Book: Respiration III
 + 1 Enchanted Book: Aqua Affinity

Mine 16 Lapis Ore (⭐⭐⭐)
 + 64 Arrow

Harvest 48 Cocoa Beans (⭐⭐)
 + 1 Music Disc Pigstep
 + 48 Coal

Kill 7 Witches (⭐⭐⭐⭐⭐)
 + 1 Diamond Hoe: Fortune II
 + 1 Enchanted Book: Feather Falling IV
 + 3 Potion: Night Vision

Enchant 9 Books (⭐⭐)
 + 1 Ancient Debris

Mine 96 Coal Ore (⭐)
 + 4 Book

Enchant 5 Books (⭐⭐)
 + 1 Enchanted Book: Power V

Harvest 8 Melon Slices (⭐)
 + 1 Iron Boots
 + 4 Iron Ingot

Mine 64 Iron Ore (⭐⭐)
 + 4 Splash Potion: Speed II

Break 4 Amethyst Clusters (⭐⭐)
 + 1 Enchanted Book: Unbreaking I

Kill 40 Sheep (⭐⭐)
 + 1 Iron Sword: Looting I

Enchant a Diamond Hoe with Silk Touch (⭐⭐⭐)
 + 1 Iron Shovel: Efficiency IV

Enchant 8 Books (⭐⭐)
 + 4 Sponge
 + 1 Spyglass

Trade with a Villager 4 times (⭐⭐)
 + 1 Iron Sword: Sweeping I

Mine 2 Emerald Ore (⭐⭐⭐)
 + 8 Blaze Rod

Enchant a Diamond Axe with Efficiency II+ (⭐⭐)
 + 48 Cooked Porkchop

Chop 192 Logs (⭐⭐)
 + 16 Flint

Harvest 112 Kelp (⭐)
 + 5 Potion: Speed II

Enchant 5 Books (⭐⭐)
 + 1 Enchanted Book: Punch II

Find a Nether Fortress (⭐⭐⭐⭐)
 + 1 Bow: Unbreaking III
 + 4 Blaze Rod

Harvest 16 Brown Mushrooms (⭐⭐)
 + 1 Emerald
 + 1 Crossbow

Swim 1,8km (⭐⭐⭐)
 + 7 Diamond

Enchant a Diamond Pickaxe (⭐)
 + 5 Potion: Jump Boost

Harvest 64 Potatoes (⭐)
 + 3 Splash Potion: Jump Boost +

Mine 32 Gold Ore (⭐⭐)
 + 1 Diamond

Mine 112 Nether Gold Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Fortune III

Harvest 16 Beetroots (⭐)
 + 1 Iron Helmet

Harvest 16 Brown Mushrooms (⭐⭐)
 + 1 Iron Sword: Sharpness I

Travel 4km with a Boat (⭐⭐⭐)
 + 1 Iron Pickaxe: Efficiency III

Mine 48 Gold Ore (⭐⭐)
 + 32 Arrow

Harvest 96 Sugar Cane (⭐⭐)
 + 32 Flint

Level up 10 times (⭐⭐)
 + 36 Iron Ingot

Mine 32 Copper Ore (⭐)
 + 1 Potion: Regeneration +

Trade with a Librarian 12 times (⭐⭐⭐⭐)
 + 1 Netherite Sword: Fire Aspect II

Harvest 48 Beetroots (⭐⭐)
 + 1 Crossbow: Piercing II

Enchant a Diamond Pickaxe with Silk Touch (⭐⭐⭐)
 + 1 Heart Of The Sea

Run 20km (⭐⭐⭐⭐⭐)
 + 1 Netherite Hoe
 + 1 Enchanted Book: Mending
 + 1 Enchanted Book: Thorns III

Run 15km (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Smite II
 + 96 Copper Ingot

Level up 20 times (⭐⭐⭐)
 + 1 Chainmail Boots: Unbreaking II

Enchant 5 Books (⭐⭐)
 + 1 Diamond

Mine 32 Redstone Ore (⭐⭐)
 + 16 Book

Chop 160 Logs (⭐⭐)
 + 20 Iron Ingot

Chop 64 Spruce Logs (⭐⭐)
 + 12 Iron Ingot
 + 1 Bow
 + 1 Iron Pickaxe

Mine 16 Diamond Ore (⭐⭐⭐⭐)
 + 20 Ender Pearl
 + 96 Coal

Harvest 112 Wheat (⭐)
 + 1 Diamond
 + 1 Iron Sword

Kill 20 Sheep (⭐⭐)
 + 2 Saddle
 + 1 Iron Chestplate

Kill 40 Sheep (⭐⭐)
 + 1 Enchanted Book: Luck Of The Sea III

Mine 80 Gold Ore (⭐⭐)
 + 1 Chainmail Leggings: Thorns II

Mine 20 Diamond Ore (⭐⭐⭐⭐)
 + 6 Sea Lantern

Kill 100 Creepers (⭐⭐⭐⭐)
 + 128 Arrow
 + 24 Book

Enchant 4 Books (⭐⭐)
 + 1 Iron Sword: Sweeping I

Kill 20 Pigs (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Mine 8 Lapis Ore (⭐⭐)
 + 1 Iron Shovel: Silk Touch

Mine 96 Iron Ore (⭐⭐)
 + 36 Iron Ingot

Harvest 96 Potatoes (⭐⭐)
 + 1 Bow: Punch I

Kill 60 Creepers (⭐⭐⭐)
 + 96 Copper Ingot

Level up 15 times (⭐⭐)
 + 1 Chainmail Helmet: Blast Protection III

Kill 2 Ghasts (⭐⭐⭐)
 + 1 Enchanted Book: Sweeping III

Reach level 35 (⭐⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods IV

Mine 48 Copper Ore (⭐)
 + 40 Coal

Harvest 32 Carrots (⭐)
 + 1 Iron Leggings

Enchant a Fishing Rod with Luck Of The Sea II+ (⭐⭐)
 + 6 Potion: Slow Falling
 + 8 Book

