Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FISH_ITEM
- COD                  count: 21           30,00 %    (25,45% expected)
- ANY_TREASURE         count: 2             2,86 %    (3,64 % expected)
- ANY_ITEM             count: 7            10,00 %    (7,27 % expected)
- SALMON               count: 8            11,43 %    (18,18% expected)
- ANY_FISH             count: 26           37,14 %    (36,36% expected)
- TROPICAL_FISH        count: 1             1,43 %    (1,82 % expected)
- PUFFERFISH           count: 5             7,14 %    (7,27 % expected)

Quest Type: VILLAGER_TRADE
- LIBRARIAN            count: 4             4,21 %    (4,35 % expected)
- SHEPHERD             count: 6             6,32 %    (4,35 % expected)
- BUTCHER              count: 11           11,58 %    (4,35 % expected)
- ARMORER              count: 3             3,16 %    (4,35 % expected)
- FISHERMAN            count: 5             5,26 %    (4,35 % expected)
- NONE                 count: 31           32,63 %    (43,48% expected)
- CARTOGRAPHER         count: 6             6,32 %    (4,35 % expected)
- WEAPONSMITH          count: 5             5,26 %    (4,35 % expected)
- FARMER               count: 3             3,16 %    (4,35 % expected)
- FLETCHER             count: 10           10,53 %    (4,35 % expected)
- CLERIC               count: 2             2,11 %    (4,35 % expected)
- LEATHERWORKER        count: 4             4,21 %    (4,35 % expected)
- TOOLSMITH            count: 2             2,11 %    (4,35 % expected)
- MASON                count: 3             3,16 %    (4,35 % expected)

Quest Type: INCREASE_STAT
- WALK_ONE_CM          count: 29           31,18 %    (34,48% expected)
- RECORD_PLAYED        count: 0             0,00 %    (1,15 % expected)
- BELL_RING            count: 2             2,15 %    (2,87 % expected)
- CAKE_SLICES_EATEN    count: 2             2,15 %    (2,87 % expected)
- PIG_ONE_CM           count: 6             6,45 %    (5,75 % expected)
- HORSE_ONE_CM         count: 15           16,13 %    (11,49% expected)
- SWIM_ONE_CM          count: 14           15,05 %    (11,49% expected)
- RAID_WIN             count: 1             1,08 %    (1,15 % expected)
- MINECART_ONE_CM      count: 7             7,53 %    (5,75 % expected)
- FLOWER_POTTED        count: 1             1,08 %    (2,87 % expected)
- BOAT_ONE_CM          count: 15           16,13 %    (17,24% expected)
- STRIDER_ONE_CM       count: 1             1,08 %    (2,87 % expected)

Quest Type: CHOP_WOOD
- MANGROVE_LOG         count: 0             0,00 %    (1,27 % expected)
- BIRCH_LOG            count: 18            7,35 %    (7,59 % expected)
- OAK_LOG              count: 24            9,80 %    (10,13% expected)
- LOG                  count: 164          66,94 %    (63,29% expected)
- DARK_OAK_LOG         count: 4             1,63 %    (2,53 % expected)
- SPRUCE_LOG           count: 12            4,90 %    (6,33 % expected)
- CHERRY_LOG           count: 0             0,00 %    (1,27 % expected)
- ACACIA_LOG           count: 17            6,94 %    (5,06 % expected)
- JUNGLE_LOG           count: 6             2,45 %    (2,53 % expected)

Quest Type: BREAK_BLOCK
- GLOWSTONE            count: 4            22,22 %    (32,26% expected)
- AMETHYST_CLUSTER     count: 13           72,22 %    (64,52% expected)
- SPAWNER              count: 1             5,56 %    (3,23 % expected)

Quest Type: ENCHANT_ITEM
- BOOK                 count: 85           38,46 %    (40,63% expected)
- DIAMOND_BOOTS        count: 2             0,90 %    (2,44 % expected)
- DIAMOND_AXE          count: 18            8,14 %    (6,50 % expected)
- DIAMOND_LEGGINGS     count: 8             3,62 %    (2,44 % expected)
- CROSSBOW             count: 11            4,98 %    (4,06 % expected)
- DIAMOND_SWORD        count: 19            8,60 %    (9,75 % expected)
- DIAMOND_SHOVEL       count: 11            4,98 %    (6,50 % expected)
- TRIDENT              count: 0             0,00 %    (0,04 % expected)
- FISHING_ROD          count: 16            7,24 %    (4,06 % expected)
- SHIELD               count: 9             4,07 %    (2,44 % expected)
- DIAMOND_HELMET       count: 7             3,17 %    (2,44 % expected)
- DIAMOND_PICKAXE      count: 15            6,79 %    (8,13 % expected)
- DIAMOND_HOE          count: 6             2,71 %    (1,63 % expected)
- DIAMOND_CHESTPLATE   count: 6             2,71 %    (2,44 % expected)
- BOW                  count: 8             3,62 %    (6,50 % expected)

Quest Type: KILL_ENTITY
- SQUID                count: 8             2,27 %    (1,65 % expected)
- WITCH                count: 7             1,99 %    (2,47 % expected)
- PILLAGER             count: 3             0,85 %    (0,82 % expected)
- SKELETON             count: 29            8,24 %    (8,23 % expected)
- PIGLIN               count: 7             1,99 %    (1,65 % expected)
- BLAZE                count: 14            3,98 %    (4,12 % expected)
- ZOMBIE_VILLAGER      count: 1             0,28 %    (0,41 % expected)
- ENDERMAN             count: 19            5,40 %    (6,58 % expected)
- COW                  count: 26            7,39 %    (8,23 % expected)
- CREEPER              count: 22            6,25 %    (6,17 % expected)
- GHAST                count: 7             1,99 %    (2,47 % expected)
- CAVE_SPIDER          count: 7             1,99 %    (1,65 % expected)
- SPIDER               count: 21            5,97 %    (6,58 % expected)
- GLOW_SQUID           count: 1             0,28 %    (0,82 % expected)
- CHICKEN              count: 26            7,39 %    (8,23 % expected)
- PHANTOM              count: 7             1,99 %    (1,65 % expected)
- ZOGLIN               count: 5             1,42 %    (1,65 % expected)
- PIG                  count: 31            8,81 %    (8,23 % expected)
- WITHER_SKELETON      count: 7             1,99 %    (2,47 % expected)
- MAGMA_CUBE           count: 7             1,99 %    (1,23 % expected)
- SHEEP                count: 28            7,95 %    (8,23 % expected)
- DROWNED              count: 18            5,11 %    (4,12 % expected)
- ZOMBIE               count: 51           14,49 %    (12,35% expected)

Quest Type: HARVEST_BLOCK
- SWEET_BERRIES        count: 14            4,46 %    (3,97 % expected)
- SEA_PICKLE           count: 2             0,64 %    (0,66 % expected)
- CACTUS               count: 22            7,01 %    (6,62 % expected)
- KELP                 count: 8             2,55 %    (3,97 % expected)
- MELON_SLICE          count: 10            3,18 %    (3,97 % expected)
- POTATO               count: 25            7,96 %    (10,60% expected)
- BAMBOO               count: 4             1,27 %    (1,32 % expected)
- CHORUS_FLOWER        count: 7             2,23 %    (2,65 % expected)
- BEETROOT             count: 25            7,96 %    (6,62 % expected)
- NETHER_WART          count: 5             1,59 %    (2,65 % expected)
- BROWN_MUSHROOM       count: 10            3,18 %    (3,97 % expected)
- COCOA_BEANS          count: 7             2,23 %    (2,65 % expected)
- RED_MUSHROOM         count: 11            3,50 %    (3,97 % expected)
- CARROT               count: 33           10,51 %    (10,60% expected)
- PUMPKIN              count: 25            7,96 %    (6,62 % expected)
- WHEAT                count: 49           15,61 %    (15,89% expected)
- SUGAR_CANE           count: 57           18,15 %    (13,25% expected)

Quest Type: FIND_STRUCTURE
- JUNGLE_PYRAMID       count: 0             0,00 %    (3,96 % expected)
- MANSION              count: 0             0,00 %    (0,99 % expected)
- END_CITY             count: 0             0,00 %    (1,98 % expected)
- DESERT_PYRAMID       count: 0             0,00 %    (11,88% expected)
- SHIPWRECK            count: 16           25,00 %    (9,90 % expected)
- SWAMP_HUT            count: 0             0,00 %    (3,96 % expected)
- PILLAGER_OUTPOST     count: 0             0,00 %    (3,96 % expected)
- MONUMENT             count: 0             0,00 %    (3,96 % expected)
- VILLAGE              count: 31           48,44 %    (19,80% expected)
- RUINED_PORTAL        count: 10           15,63 %    (9,90 % expected)
- FORTRESS             count: 0             0,00 %    (15,84% expected)
- IGLOO                count: 0             0,00 %    (3,96 % expected)
- OCEAN_RUIN           count: 7            10,94 %    (5,94 % expected)
- BASTION_REMNANT      count: 0             0,00 %    (3,96 % expected)

Quest Type: MINE_BLOCK
- NETHER_QUARTZ_ORE    count: 22            4,67 %    (4,34 % expected)
- LAPIS_ORE            count: 28            5,94 %    (5,42 % expected)
- REDSTONE_ORE         count: 24            5,10 %    (6,51 % expected)
- COAL_ORE             count: 107          22,72 %    (21,69% expected)
- ANCIENT_DEBRIS       count: 5             1,06 %    (1,74 % expected)
- EMERALD_ORE          count: 9             1,91 %    (1,74 % expected)
- NETHER_GOLD_ORE      count: 31            6,58 %    (4,34 % expected)
- COPPER_ORE           count: 27            5,73 %    (6,51 % expected)
- DIAMOND_ORE          count: 49           10,40 %    (10,85% expected)
- IRON_ORE             count: 94           19,96 %    (21,69% expected)
- GOLD_ORE             count: 75           15,92 %    (15,18% expected)


QUESTS:

Chop 96 Jungle Logs (⭐⭐)
 + 3 Emerald

Mine 128 Coal Ore (⭐⭐)
 + 2 Ghast Tear

Mine 56 Lapis Ore (⭐⭐⭐⭐)
 + 1 Netherite Axe: Unbreaking II

Kill 110 Skeletons (⭐⭐⭐⭐)
 + 128 Arrow
 + 96 Iron Ingot

Mine 16 Nether Gold Ore (⭐⭐)
 + 6 Nautilus Shell

Mine 80 Nether Quartz Ore (⭐⭐⭐)
 + 1 Fishing Rod: Mending

Mine 144 Iron Ore (⭐⭐)
 + 1 Diamond Pickaxe

Chop 160 Logs (⭐⭐)
 + 28 Cooked Mutton

Run 17,5km (⭐⭐⭐⭐⭐)
 + 12 Diamond
 + 1 Enchanted Book: Fortune III
 + 96 Iron Ingot
 + 6 Potion: Instant Health

Find a Village (⭐⭐⭐)
 + 1 Diamond Sword: Sweeping II

Mine 96 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Sharpness V

Break 4 Amethyst Clusters (⭐⭐)
 + 1 Chainmail Boots: Blast Protection III

Chop 160 Logs (⭐⭐)
 + 16 Cooked Beef
 + 1 Iron Pickaxe
 + 1 Iron Hoe

Mine 16 Gold Ore (⭐)
 + 3 Potion: Strength +

Harvest 32 Sugar Cane (⭐)
 + 12 Cooked Mutton
 + 1 Iron Leggings

Kill 40 Sheep (⭐⭐)
 + 44 Iron Ingot

Harvest 96 Beetroots (⭐⭐)
 + 5 Potion: Water Breathing +

Chop 32 Oak Logs (⭐)
 + 2 Potion: Jump Boost II

Kill 40 Pigs (⭐⭐)
 + 1 Iron Axe: Silk Touch

Kill 30 Pigs (⭐⭐)
 + 16 Flint

Mine 112 Nether Gold Ore (⭐⭐⭐⭐)
 + 1 Chainmail Leggings: Mending

Kill 17 Magma Cubes (⭐⭐⭐⭐⭐)
 + 1 Netherite Pickaxe: Unbreaking II

Mine 8 Lapis Ore (⭐⭐)
 + 6 Potion: Fire Resistance +

Mine 176 Coal Ore (⭐⭐)
 + 16 Flint

Level up 15 times (⭐⭐)
 + 32 Arrow
 + 1 Iron Leggings
 + 1 Iron Boots

Mine 36 Diamond Ore (⭐⭐⭐⭐⭐)
 + 10 Diamond
 + 1 Netherite Sword

Kill 50 Pigs (⭐⭐)
 + 4 Blaze Rod

Kill 8 Ghasts (⭐⭐⭐⭐⭐)
 + 1 Netherite Pickaxe
 + 1 Bow: Power II
 + 48 Cooked Mutton

Fish 1 Pufferfish (⭐)
 + 4 Gold Ingot

Kill 10 Chickens (⭐)
 + 1 Name Tag

Harvest 48 Cocoa Beans (⭐⭐)
 + 1 Enchanted Book: Thorns II

Kill 10 Cows (⭐)
 + 16 Coal
 + 1 Iron Pickaxe

Harvest 24 Pumpkins (⭐⭐)
 + 32 Arrow

Kill 80 Drowned (⭐⭐⭐⭐)
 + 1 Enchanted Book: Feather Falling IV
 + 1 Diamond Sword
 + 1 Splash Potion: Luck

Mine 8 Diamond Ore (⭐⭐⭐)
 + 1 Enchanted Book: Punch II
 + 1 Chainmail Helmet: Thorns II

Run 7,5km (⭐⭐⭐⭐)
 + 48 Gold Ingot
 + 1 Enchanted Book: Flame

Mine 36 Diamond Ore (⭐⭐⭐⭐⭐)
 + 1 Netherite Pickaxe
 + 1 Enchanted Book: Aqua Affinity

Kill 36 Phantoms (⭐⭐⭐⭐)
 + 1 Diamond Axe: Bane Of Arthropods IV

Enchant a Diamond Leggings (⭐⭐)
 + 1 Enchanted Book: Lure II
 + 1 Crossbow

Catch 28 fish (⭐⭐)
 + 36 Cooked Beef
 + 1 Iron Chestplate

Kill 50 Sheep (⭐⭐)
 + 48 Cooked Mutton

Chop 96 Logs (⭐)
 + 12 Iron Ingot

Kill 90 Zombies (⭐⭐⭐)
 + 4 Ancient Debris

Mine 80 Gold Ore (⭐⭐)
 + 1 Iron Helmet: Fire Protection II

Kill 110 Zombies (⭐⭐⭐⭐)
 + 1 Enchanted Book: Sweeping III
 + 1 Iron Sword: Looting II

Mine 96 Coal Ore (⭐)
 + 1 Iron Chestplate
 + 1 Chainmail Boots
 + 1 Iron Sword

Fish 1 Pufferfish (⭐)
 + 4 Iron Ingot
 + 1 Iron Sword

Enchant 3 Books (⭐)
 + 1 Diamond Shovel

Enchant 3 Books (⭐)
 + 1 Iron Chestplate
 + 1 Chainmail Leggings

Harvest 4 Pumpkins (⭐)
 + 1 Crossbow

Kill 12 Endermen (⭐⭐⭐⭐)
 + 1 Diamond Leggings: Unbreaking III

Enchant a Fishing Rod with Lure I+ (⭐⭐)
 + 12 Iron Ingot
 + 6 Honey Bottle
 + 1 Iron Pickaxe
 + 1 Iron Sword

Mine 128 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Thorns I

Mine 48 Iron Ore (⭐)
 + 1 Crossbow
 + 1 Iron Helmet
 + 1 Iron Shovel

Chop 128 Logs (⭐)
 + 1 Diamond Shovel

Mine 2 Emerald Ore (⭐⭐⭐)
 + 56 Iron Ingot
 + 6 Splash Potion: Fire Resistance

Enchant a Diamond Axe with Smite IV+ (⭐⭐⭐)
 + 1 Diamond Pickaxe: Silk Touch

Chop 96 Logs (⭐)
 + 1 Iron Leggings

Harvest 32 Wheat (⭐)
 + 4 Golden Carrot
 + 1 Iron Sword

Break 4 Amethyst Clusters (⭐⭐)
 + 1 Chainmail Boots: Feather Falling III

Run 2,5km (⭐⭐⭐)
 + 96 Coal

Find a Village (⭐⭐⭐)
 + 6 Splash Potion: Regeneration

Chop 224 Logs (⭐⭐)
 + 3 Emerald

Enchant 8 Books (⭐⭐)
 + 1 Chainmail Leggings: Unbreaking I

Mine 112 Coal Ore (⭐⭐)
 + 28 Cooked Chicken

Run 17,5km (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Bane Of Arthropods V
 + 6 Potion: Speed +

Enchant a Diamond Pickaxe with Silk Touch (⭐⭐⭐)
 + 1 Diamond Boots: Thorns II
 + 1 Diamond Sword

Mine 80 Redstone Ore (⭐⭐⭐)
 + 96 Iron Ingot

Kill 90 Drowned (⭐⭐⭐⭐)
 + 1 Enchanted Book: Quick Charge III
 + 96 Coal

Harvest 80 Melon Slices (⭐⭐)
 + 6 Splash Potion: Speed +
 + 1 Chainmail Leggings: Unbreaking I
 + 1 Iron Pickaxe

Mine 12 Diamond Ore (⭐⭐⭐)
 + 1 Diamond Sword: Unbreaking II

Mine 80 Gold Ore (⭐⭐)
 + 1 Iron Shovel: Silk Touch

Chop 128 Logs (⭐)
 + 16 Cooked Porkchop

Harvest 32 Beetroots (⭐)
 + 24 Coal

Harvest 16 Bamboo (⭐⭐)
 + 1 Chainmail Chestplate: Blast Protection II

Catch 12 fish (⭐)
 + 3 Potion: Strength +
 + 1 Fishing Rod

Mine 112 Nether Gold Ore (⭐⭐⭐⭐)
 + 1 Diamond Sword: Sharpness II
 + 1 Enchanted Book: Knockback II

Break 56 Glowstones (⭐⭐⭐)
 + 96 Arrow

Trade with a Mason 2 times (⭐⭐)
 + 1 Diamond
 + 1 Iron Chestplate

Level up 30 times (⭐⭐⭐)
 + 1 Enchanted Book: Looting II

Mine 208 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Sweeping III

Mine 96 Iron Ore (⭐⭐)
 + 1 Chainmail Boots: Thorns II

Mine 12 Ancient Debris (⭐⭐⭐⭐⭐)
 + 192 Arrow
 + 1 Enchanted Book: Looting III
 + 1 Crossbow

Ride 9km on a Horse (⭐⭐⭐⭐⭐)
 + 24 Slime Ball
 + 1 Diamond Axe
 + 6 Potion: Jump Boost +

Harvest 64 Kelp (⭐)
 + 1 Emerald

Chop 96 Logs (⭐)
 + 1 Splash Potion: Strength +
 + 1 Iron Boots

