Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- FORTRESS             count: 26           16,25 %    (15,84% expected)
- VILLAGE              count: 35           21,88 %    (19,80% expected)
- OCEAN_RUIN           count: 7             4,38 %    (5,94 % expected)
- MANSION              count: 2             1,25 %    (0,99 % expected)
- BASTION_REMNANT      count: 4             2,50 %    (3,96 % expected)
- SHIPWRECK            count: 13            8,13 %    (9,90 % expected)
- PILLAGER_OUTPOST     count: 8             5,00 %    (3,96 % expected)
- SWAMP_HUT            count: 10            6,25 %    (3,96 % expected)
- END_CITY             count: 4             2,50 %    (1,98 % expected)
- IGLOO                count: 5             3,13 %    (3,96 % expected)
- DESERT_PYRAMID       count: 13            8,13 %    (11,88% expected)
- MONUMENT             count: 7             4,38 %    (3,96 % expected)
- RUINED_PORTAL        count: 19           11,88 %    (9,90 % expected)
- JUNGLE_PYRAMID       count: 7             4,38 %    (3,96 % expected)

Quest Type: BREAK_BLOCK
- GLOWSTONE            count: 8            30,77 %    (32,26% expected)
- SPAWNER              count: 0             0,00 %    (3,23 % expected)
- AMETHYST_CLUSTER     count: 18           69,23 %    (64,52% expected)

Quest Type: VILLAGER_TRADE
- CLERIC               count: 5             3,91 %    (4,35 % expected)
- NONE                 count: 56           43,75 %    (43,48% expected)
- LIBRARIAN            count: 5             3,91 %    (4,35 % expected)
- FISHERMAN            count: 5             3,91 %    (4,35 % expected)
- BUTCHER              count: 5             3,91 %    (4,35 % expected)
- FARMER               count: 8             6,25 %    (4,35 % expected)
- SHEPHERD             count: 6             4,69 %    (4,35 % expected)
- LEATHERWORKER        count: 5             3,91 %    (4,35 % expected)
- ARMORER              count: 8             6,25 %    (4,35 % expected)
- CARTOGRAPHER         count: 6             4,69 %    (4,35 % expected)
- TOOLSMITH            count: 6             4,69 %    (4,35 % expected)
- FLETCHER             count: 5             3,91 %    (4,35 % expected)
- MASON                count: 4             3,13 %    (4,35 % expected)
- WEAPONSMITH          count: 4             3,13 %    (4,35 % expected)

Quest Type: PICK_FLOWER
